DATE;CMIG4;SUZB3
05/04/2021 17:30;12.54;69.57
05/04/2021 14:00;12.51;69.25
05/04/2021 10:00;12.51;68.8
01/04/2021 17:30;12.75;68.94
01/04/2021 14:00;12.77;69.25
01/04/2021 10:00;12.87;69.35
31/03/2021 17:30;13.02;68.45
31/03/2021 14:00;13.03;68.55
31/03/2021 10:00;13.2;69.39
30/03/2021 17:30;12.96;70.88
30/03/2021 14:00;12.95;70.62
30/03/2021 10:00;12.81;71.41
29/03/2021 17:30;12.8;73.17
29/03/2021 14:00;12.8;73.04
29/03/2021 10:00;12.9;73.51
26/03/2021 17:30;12.45;72.44
26/03/2021 14:00;12.43;72.58
26/03/2021 10:00;12.43;72.69
25/03/2021 17:30;12.45;73.1
25/03/2021 14:00;12.44;73.2
25/03/2021 10:00;12.33;72.85
24/03/2021 17:30;12.14;73.36
24/03/2021 14:00;12.06;73.66
24/03/2021 10:00;12.42;75.28
23/03/2021 17:30;12.26;71.56
23/03/2021 14:00;12.31;71.77
23/03/2021 10:00;12.38;72.21
22/03/2021 17:30;12.36;72.16
22/03/2021 14:00;12.31;72.41
22/03/2021 10:00;12.3;71.38
19/03/2021 17:30;12.5;73.29
19/03/2021 14:00;12.5;74.00
19/03/2021 10:00;12.63;74.14
18/03/2021 17:30;12.26;75.57
18/03/2021 14:00;12.26;75.3
18/03/2021 10:00;12.22;75.93
17/03/2021 17:30;12.2;76.21
17/03/2021 14:00;12.16;76.55
17/03/2021 10:00;12.08;75.4
16/03/2021 17:30;12.07;75.3
16/03/2021 14:00;12.1;75.25
16/03/2021 10:00;12.1;75.84
15/03/2021 17:30;12.17;72.16
15/03/2021 14:00;12.23;72.85
15/03/2021 10:00;12.23;72.54
12/03/2021 14:00;12.09;74.25
12/03/2021 10:00;12.15;73.31
11/03/2021 14:00;12.04;74.16
11/03/2021 10:00;12.02;72.29
10/03/2021 14:00;11.91;74.86
10/03/2021 10:00;11.75;75.45
09/03/2021 14:00;11.36;79.18
09/03/2021 10:00;11.64;77.2
08/03/2021 14:00;11.48;75.37
08/03/2021 10:00;11.95;74.46
05/03/2021 14:00;11.92;76.1
05/03/2021 10:00;11.88;75.4
04/03/2021 14:00;12.15;73.6
04/03/2021 10:00;12.31;74.41
